# decorative_cracks_coasts_animation - 336 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
 104  decorative_cracks_coasts_animation_104 | 128 224 16 16
 105  decorative_cracks_coasts_animation_105 | 144 224 16 16
 106  decorative_cracks_coasts_animation_106 | 160 224 16 16
 107  decorative_cracks_coasts_animation_107 | 176 224 16 16
 108  decorative_cracks_coasts_animation_108 | 192 224 16 16
 109  decorative_cracks_coasts_animation_109 | 208 224 16 16
 110  decorative_cracks_coasts_animation_110 | 224 224 16 16
 111  decorative_cracks_coasts_animation_111 | 240 224 16 16
 112  decorative_cracks_coasts_animation_112 | 0 208 16 16
 113  decorative_cracks_coasts_animation_113 | 16 208 16 16
 114  decorative_cracks_coasts_animation_114 | 32 208 16 16
 115  decorative_cracks_coasts_animation_115 | 48 208 16 16
 116  decorative_cracks_coasts_animation_116 | 64 208 16 16
 117  decorative_cracks_coasts_animation_117 | 80 208 16 16
 118  decorative_cracks_coasts_animation_118 | 96 208 16 16
 119  decorative_cracks_coasts_animation_119 | 112 208 16 16
 120  decorative_cracks_coasts_animation_120 | 128 208 16 16
 121  decorative_cracks_coasts_animation_121 | 144 208 16 16
 122  decorative_cracks_coasts_animation_122 | 160 208 16 16
 123  decorative_cracks_coasts_animation_123 | 176 208 16 16
 124  decorative_cracks_coasts_animation_124 | 192 208 16 16
 125  decorative_cracks_coasts_animation_125 | 208 208 16 16
 126  decorative_cracks_coasts_animation_126 | 224 208 16 16
 127  decorative_cracks_coasts_animation_127 | 240 208 16 16
 128  decorative_cracks_coasts_animation_128 | 0 192 16 16
 129  decorative_cracks_coasts_animation_129 | 16 192 16 16
 130  decorative_cracks_coasts_animation_130 | 32 192 16 16
 131  decorative_cracks_coasts_animation_131 | 48 192 16 16
 132  decorative_cracks_coasts_animation_132 | 64 192 16 16
 133  decorative_cracks_coasts_animation_133 | 80 192 16 16
 134  decorative_cracks_coasts_animation_134 | 96 192 16 16
 135  decorative_cracks_coasts_animation_135 | 112 192 16 16
 136  decorative_cracks_coasts_animation_136 | 128 192 16 16
 137  decorative_cracks_coasts_animation_137 | 144 192 16 16
 138  decorative_cracks_coasts_animation_138 | 160 192 16 16
 139  decorative_cracks_coasts_animation_139 | 176 192 16 16
 140  decorative_cracks_coasts_animation_140 | 192 192 16 16
 141  decorative_cracks_coasts_animation_141 | 208 192 16 16
 142  decorative_cracks_coasts_animation_142 | 224 192 16 16
 143  decorative_cracks_coasts_animation_143 | 240 192 16 16
 144  decorative_cracks_coasts_animation_144 | 0 176 16 16
 145  decorative_cracks_coasts_animation_145 | 16 176 16 16
 146  decorative_cracks_coasts_animation_146 | 32 176 16 16
 147  decorative_cracks_coasts_animation_147 | 48 176 16 16
 148  decorative_cracks_coasts_animation_148 | 64 176 16 16
 149  decorative_cracks_coasts_animation_149 | 80 176 16 16
 150  decorative_cracks_coasts_animation_150 | 96 176 16 16
 151  decorative_cracks_coasts_animation_151 | 112 176 16 16
 152  decorative_cracks_coasts_animation_152 | 128 176 16 16
 153  decorative_cracks_coasts_animation_153 | 144 176 16 16
 154  decorative_cracks_coasts_animation_154 | 160 176 16 16
 155  decorative_cracks_coasts_animation_155 | 176 176 16 16
 156  decorative_cracks_coasts_animation_156 | 192 176 16 16
 157  decorative_cracks_coasts_animation_157 | 208 176 16 16
 158  decorative_cracks_coasts_animation_158 | 224 176 16 16
 159  decorative_cracks_coasts_animation_159 | 240 176 16 16
 160  decorative_cracks_coasts_animation_160 | 0 160 16 16
 161  decorative_cracks_coasts_animation_161 | 16 160 16 16
